ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
136	86	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
137	86	0	0	0.000000	2.848837	2.848837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
138	31	0	0	0.000000	1.354839	1.354839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
139	275	0	0	0.000000	1.600000	1.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
140	228	0	0	0.000000	1.763158	1.763158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
141	248	0	0	0.000000	2.693548	2.693548	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
142	86	0	0	0.000000	1.953488	1.953488	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
143	86	0	0	0.000000	1.941860	1.941860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
144	221	0	0	0.000000	2.072398	2.072398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
145	245	0	0	0.000000	2.330612	2.330612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
146	195	0	0	0.000000	1.764103	1.764103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
147	65	0	0	0.000000	1.784615	1.784615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
148	305	0	0	0.000000	2.488525	2.488525	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
149	80	0	0	0.000000	1.700000	1.700000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
150	115	0	0	0.000000	2.791304	2.791304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
151	327	0	0	0.000000	3.131498	3.131498	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
152	221	0	0	0.000000	2.393665	2.393665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
153	81	0	0	0.000000	1.703704	1.703704	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
154	437	0	0	0.000000	2.913043	2.913043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
155	77	1	0	0.000000	1.454545	1.454545	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
156	2	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
157	179	0	1	0.000000	1.737430	1.737430	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
158	79	0	0	0.000000	1.962025	1.962025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
159	249	0	0	0.000000	1.578313	1.578313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
160	321	0	0	0.000000	3.109034	3.109034	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
161	86	0	0	0.000000	1.604651	1.604651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
162	129	0	0	0.000000	3.139535	3.139535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
163	65	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
